string;en;pl;eo
DIAL_RIMU14;And?;I?;Kaj?
DIAL_VADA4;And I’m sorry, but I’ll never betray him… *melts*;I przepraszam, ale nigdy go nie zdradzę… *rozpuszcza się*;Kaj pardonu, sed mi neniam perfidos lin… *fandiĝas*
DIAL_RIMU15;Strange… Well then, I feel I’m getting close.;Dziwne… No nic, czuję, że się zbliżam.;DIAL_RIMU15_eo
DIAL_RIMU16;Aria! Dress yourself up.;Aria! Ubierz się.;DIAL_RIMU16_eo
DIAL_ARIA1;Why?;Czemu?;DIAL_ARIA1_eo
DIAL_RIMU17;You know why, you know the rules!;Wiesz czemu, znasz zasady!;DIAL_RIMU17_eo
DIAL_ARIA2;Darek’h doesn’t obey them, so do I!;Darek’h ich nie przestrzega, więc ja też!;DIAL_ARIA2_eo
DIAL_RIMU18;What a unruly kid… (...kid?);Co za niesforne dziecko… (…dziecko?);DIAL_RIMU18_eo
DIAL_RIMU19;Let’s play a game. If I win, you’ll dress yourself up and tell me where Darek’h is.;Zagrajmy w grę. Jeśli wygram, ubierzesz się i powiesz mi gdzie jest Darek’h.;DIAL_RIMU19_eo
DIAL_ARIA3;Okaaay…;Okeeej…;DIAL_ARIA3_eo
DIAL_RIMU20;You know the rules?;Znasz zasady?;DIAL_RIMU20_eo
DIAL_ARIA4;I know, I know… Darek’h is behind that door.;Znam, znam… Darek’h jest za tymi drzwiami.;DIAL_ARIA4_eo
DIAL_RIMU21;Thanks. Bye!;Dzięki. Cześć!;DIAL_RIMU21_eo
DIAL_ARIA5;Byyyye!;Pa paaaa!;DIAL_ARIA5_eo
DIAL_RIMU22;I’ve finally found you!;W końcu cię znalazłam!;DIAL_RIMU22_eo
DIAL_DAREKH1;Really? Did you even tried to understand us?;Doprawdy? Próbowałaś nas w ogóle zrozumieć?;DIAL_DAREKH1_eo
DIAL_RIMU23;It’s for your own good.;To dla waszego dobra.;DIAL_RIMU23_eo
DIAL_DAREKH2;Rigth… Let's get it over with.;Jasne… Miejmy to już za sobą.;DIAL_DAREKH2_eo
DIAL_DAREKH3;I didn’t expect that;Tego się nie spodziewałem…;DIAL_DAREKH3_eo
DIAL_RIMU24;This is the end of your rebelion.;To koniec twojego buntu.;DIAL_RIMU23_eo
DIAL_DAREKH4;No, witch. It just had started.;Nie, wiedźmo. Dopiero się zaczął.;DIAL_DAREKH4_eo
THANKS_ALPHA;Thank you for testing out the alpha version!;Dzięki za przetestowanie wersji alfa!;THANKS_ALPHA_eo
